"CountryID","Country.Name","WEBNAME","Region","World.Rank","Property.Rights","Judical.Effectiveness","Trade.Freedom","Corporate.Tax.Rate....","Unemployment....","Inflation...."
76,"Iran","Iran","Middle East and North Africa",164,36.9,37.1,54.6,25,12,31.165
77,"Iraq","Iraq","Middle East and North Africa",NA,43.9,11.2,NA,15,7.9,0.367
78,"Ireland","Ireland","Europe",6,86.6,64.4,86.4,12.5,5.7,0.716
79,"Israel","Israel","Middle East and North Africa",26,82.3,71.8,86.2,23,4,0.815
80,"Italy","Italy","Europe",74,75.4,51.3,86.4,27.5,10.2,1.243
81,"Jamaica","Jamaica","Americas",49,62.1,50.5,68.4,25,9.5,3.733
82,"Japan","Japan","Asia-Pacific",30,86.6,71.4,80,23.9,2.5,0.978
83,"Jordan","Jordan","Middle East and North Africa",66,64.8,54.6,81.2,20,15,4.462
84,"Kazakhstan","Kazakhstan","Asia-Pacific",39,61.3,62.1,80.2,20,4.9,6.025
85,"Kenya","Kenya","Sub-Saharan Africa",132,63.2,48.6,60.4,30,9.3,4.69
86,"Kiribati","Kiribati","Asia-Pacific",172,47.5,34.2,23.8,35,30.6,1.864
87,"Korea, North","NorthKorea","Asia-Pacific",180,20.1,5,0,NA,3.3,NA
88,"Korea, South","SouthKorea","Asia-Pacific",25,82.5,61,80,25,3.8,1.477
185,"Kosovo","Kosovo","Europe",53,66.3,54.1,76.2,10,30.5,1.056
89,"Kuwait","Kuwait","Middle East and North Africa",79,57.1,47,76.4,15,2.1,0.7
90,"Kyrgyz Republic","KyrgyzRepublic","Asia-Pacific",81,53.6,31.3,79.2,10,7.2,1.543
91,"Laos","Laos","Asia-Pacific",129,42.5,37.3,82,24,0.6,2.04
92,"Latvia","Latvia","Europe",32,72.3,51.1,86.4,20,7.9,2.554
93,"Lebanon","Lebanon","Middle East and North Africa",157,44.6,30.8,77.4,17,6.2,6.068
94,"Lesotho","Lesotho","Sub-Saharan Africa",138,45.2,47,82.2,25,23.6,5.2
95,"Liberia","Liberia","Sub-Saharan Africa",165,31.1,37.9,60.6,25,2,23.429
96,"Libya","Libya","Middle East and North Africa",NA,30.1,20.8,NA,NA,17.3,23.089
97,"Liechtenstein","Liechtenstein","Europe",NA,NA,NA,NA,12.5,1.8,0.5
98,"Lithuania","Lithuania","Europe",16,77.9,62.1,86.4,15,6,2.531
99,"Luxembourg","Luxembourg","Europe",19,86.4,74.4,86.4,18,5.5,2.018
